"nome","resumo","coordenador"
"PSICOLOGIA DO TRABALHO E ORGANIZACIONAL - ÊNFASE NOS PROCESSOS ORGANIZACIONAIS : ORIENTAÇÃO AO FUNCIONAMENTO DA EMPRESA JUNIOR DO INSTITUTO DE PSICOLOGIA","O projeto de psicologia do trabalho e organizacional com ênfase nos processos organizacionais  compõe o programa: latis-  laboratório trabalho  inclusão social e sustentabilidade – movimento dos grupos sociais  tendo  como proposta sistematizar a orientação ao funcionamento da empresa junior do instituto de psicologia  possibilitando maior aprendizagem e capacitação no campo das organizações  identificando as possibilidades de atuação do psicólogo dentro das organizações sociais e garantindo o desenvolvimento contínuo da ejr de psicologia. O projeto visa  promover através de suas atividades o desenvolvimento técnico e acadêmico dos estudantes do ip   o desenvolvimento econômico e social da comunidade   o espírito empreendedor dos integrantes da interação jr    o contato dos estudantes com o mercado de trabalho e sociedade  possibilitando  o desenvolvimento pessoal e profissional de todos os envolvidos no processo de aprendizagem e capacitação no campo da  psicologia do trabalho e organizacional  neste sentido  as  ações realizadas devem   propiciar condições mínimas para o estabelecimento  funcionamento e acompanhamento da ejr no ip  a partir de coordenação especializada  com experiência e formação na área  orientando e capacitando o grupo no campo dos processos organizacionais. E  ainda  proporcionar  através do desenvolvimento de ações adequadas ao funcionamento administrativo e técnico da ejr   a integração entre os estudantes  direção do ip  demais professores que venham a compor o projeto e outras instituições  garantindo a “sustentabilidade” da interação jr  empresa junior de psicologia.","Heloisa Helena Ferraz Ayres"
"PSICOLOGIA DO TRABALHO E ORGANIZACIONAL - O JOVEM E A INICIAÇÃO AO TRABALHO EM UMA PERSPECTIVA DA INCLUSÃO SOCIAL","O presente projeto surge no estágio em psicologia do trabalho e organizacional (spa⁄ip⁄uerj)  a partir de discussões acerca do campo do trabalho  das organizações e a precoce inserção do jovem no mercado de trabalho. Assim  os seguintes objetivos foram definidos: - criar parceiras entre academia  empresas e sociedade para realização do projeto; – propiciar o desenvolvimento pessoal e interpessoal desses jovens  que facilitem o seu autoconhecimento e reflexões acerca do trabalho  do mercado de trabalho e possibilidades de inclusão social; -  e desenvolver estudos e pesquisas sobre o tema o jovem e a iniciação ao trabalho  possibilitando definições de ações transformadoras da realidade atual. A fundamentação teórica tem como base a psicologia do trabalho e organizacional  em uma perspectiva das concepções atuais desse campo( dejours 2004;zanelli  borges-andrade & bastos  2014; zanelli & silva  2008) e a concepção psicossocial integrada (ayres  2012)  que tem como fundamento a pesquisa-ação e os estudos sobre processos grupais. Neste sentido  as seguintes etapas são percorridas: 1ª etapa - divulgação da proposta e construção de parcerias com empresas e sociedade participantes do programa – espaço de construção conjunta; 2ª etapa - levantamento das expectativas e apresentação da proposta -  ajustar às demandas ""reais"" do grupo -  entrevistas com empresas e participantes; 3ª etapa - desenvolvimento da proposta – grupo de desenvolvimento pessoal e interpessoal – jovens aprendizes  - vivência grupal - construção de planos  de ações de desenvolvimento individual; 4ª etapa - avaliação e acompanhamento - encontro de acompanhamento  entrevista devolutiva e entrevista com as empresas. Nesta perspectiva  o que está em pauta  no presente projeto  é a construção de parcerias entre academia  empresa e sociedade  que consolide projetos  com foco na inclusão social  voltados para o desenvolvimento dos profissionais  das organizações e da sociedade de forma integrada e conectada.","Heloisa Helena Ferraz Ayres"
"PRÁTICAS DECOLONIAIS PARA O ENSINO DA LÍNGUA INGLESA","Fruto da experiência com as ações do  ppacli (projeto de promoção de autonomia e competências da língua inglesa)  identificado sob o número 5384  no depext  o  presente projeto  intitulado “ práticas decoloniais para o ensino da língua inglesa” (pdeli)  tem como objetivo geral organizar e fornecer  em fluxo contínuo   palestras  oficinas e mini-cursos  para professores de língua inglesa e  como conseguinte  alcançar especificamente  dois objetivos: i) estimular uma atitude crítica diante da hegemonia do inglês; ii) promover reflexões para desconstrução de crenças acerca de uma falante ideal (ou nativo) de inglês. A proposta articula-se em dois eixos. O primeiro é o oferecimento de serviços de qualidade aos professores da língua inglesa  visando à conscientização e uso da língua  bem como acerca do uso de inglês como língua franca de forma crítica e decolonial (siqueira  2015; 2018; 2021; jordão  2010; 2018).  O segundo visa à ampliação dos espaços de práticas docentes ofertadas a docentes da língua inglesa e à pesquisa sobre as crenças sobre o ensino e aprendizagem de língua inglesa (barcelos  2001; silva  2005)  na uerj. Dessa forma  o projeto buscará cooperar para a conscientização de práticas decoloniais do professor de língua inglesa por meio de ações pedagógicas que possibilitem o desenvolvimento das competências  decisórias  motivacionais e sociais (cf. Silva  2014) em encontros ministrados por professores participantes que apresentarão atividades com traços decoloniais orientados pela perspectiva da língua como atividade de interação social e produção de discurso (bakhtin; volochínov  2006); dos gêneros discursivos orais (rojo; schneuwly  2010) e dos pressupostos acerca da zona de conforto (colombo gomes  2006  2018  2022). O projeto contará com a participação de dois estagiários de extensão  dois estagiários de ic  e cinco  prodocentes do projeto multiculturalidade e multiletramentos críticos no ensino de inglês para crianças do curso de letras.","Gysele Da Silva Colombo Gomes"
"CARTOGRAFIA DA AÇÃO SOCIAL E DIGITALIZAÇÃO DO TERRITÓRIO: MUNDO DO TRABALHO E DIREITO À CIDADE","Articular atividades de ensino  pesquisa e extensão em torno da reflexão e análise da digitalização do espaço geográfico enquanto conjunto indissociável de materialidades animadas por ações portadoras de determinados sentidos – exploração  cooperação ou resistência – a partir de três frentes: (i) trabalhos de campo e atuação junto a movimentos e organização do mundo do trabalho na luta pelo direito à cidade  aos usos do território e ao reconhecimento enquanto trabalhadores e trabalhadoras  selecionados na metrópole fluminense e tendo por eixo a digitalização do espaço  objetivando compreender e problematizar suas pautas e sentidos da ação; (ii) levantamento da presença e usos de infraestruturas e materialidades necessárias à digitalização implicadas nos processos de trabalho  de produção do espaço urbano e de organização e luta política do mundo do trabalho; e (iii) realização de atividades de cartografia da ação social junto ao movimento unificado dos camelôs (muca) e ao movimento dos trabalhadores sem direitos no centro do rio de janeiro  em torno do centro de referência dos trabalhadores ambulantes (crta).","Luis Henrique Leandro Ribeiro"
"DESENVOLVIMENTO SUSTENTÁVEL  INOVAÇÃO  TRABALHO HUMANO E EXPERIÊNCIA","Em geral  os projetos de engenharia de produção se organizam de modo prescritivo e os seus resultados estabelecem políticas  processos  normas técnicas  manuais  especificações  arranjos físicos  procedimentos  instruções e planos sobre o trabalho. Embora estruturantes da ação de trabalhar  quando confrontados aos contextos reais de execução  estes artefatos enfrentam barreiras no uso  na instrumentalização e na apropriação pelos trabalhadores. Em ambientes altamente dinâmicos e marcados por alto grau de diversidade  variabilidade e incerteza  os entraves podem ser quase intransponíveis. Nessas conjunturas  o permanente diálogo com a realidade mobiliza a inteligência da tarefa  a improvisação criativa e a criatividade do agir. Porém  para que os trabalhadores apliquem seus múltiplos saberes  é preciso projetar o trabalho e os mecanismos de ação  viabilizando a gestão dos diversos tipos e formas de ocorrência de variabilidades. Essa assunção subverte a lógica da abordagem tradicional de projetos  essencialmente descendente (top-down)  em que as opções técnicas e os fluxos são definidos a partir da fixação de objetivos de produtividade e de investimentos financeiros. Nessa perspectiva  o trabalho é variável de ajuste e  para alcançar os resultados  os trabalhadores empreendem regulações  que lhe impõem um custo humano. é necessário estabelecer um compromisso viável entre produtividade  lucratividade e condições dignas e decentes de trabalho  no desenvolvimento e no aperfeiçoamento das soluções de gestão e de projeto. Para isso  o trabalho humano deve ser objeto projetual. Assim  será possível produzir transformações estruturais e sistêmicas  que se refletirão em inovação e sustentabilidade no âmbito do trabalho.","Patricia Gomes Ferreira Da Costa"
"SOLUÇÃO ESTATÍSTICA JUNIOR","O projeto sej na sua trajetória realiza parcerias com graduandos e pós-graduandos de outras instituições de ensino superior - ies  conselhos regionais e empresas de médio e pequeno porte. Objetiva-se formar profissionais  empreendedores e gestores  nas áreas de estatística e atuaria  com orientação pedagógica norteada às tecnologias sociais e de inclusão. O método tem se apoiado na interação extensão e movimento júnior  que viabiliza a flexibilização curricular e indissociabilidade entre ensino  pesquisa e extensão. O alvo é sensibilizar os estudantes para se integrar ao projeto para viabilizar a ação multiplicadora do aprendizado. O resultado mostra que o projeto sej desenvolve pesquisa aplicada com o uso métodos e técnicas da estatística. O efetivo aprendizado aplicado tem mostrado que a tecnologia social inerente aos projetos de extensão no ambiente acadêmico realiza-se de forma simples e com baixo custo. Tem gerado impacto social  comprovado pelos ganhos adicionais na formação profissional que promove o relacionamento interpessoal  e alcança o reconhecimento da comunidade pela qualidade do trabalho desenvolvido.","Marcello Montillo Provenza"
"SERRA JÚNIOR ENGENHARIA - EMPRESA JÚNIOR IPRJ/UERJ","A serra jr engenharia  empresa júnior criada em 08 de maio de 2002  é uma associação civil sem fins lucrativos formada exclusivamente por estudantes dos cursos de graduação em engenharia mecânica e engenharia de computação do instituto politécnico da universidade do estado do rio de janeiro (iprj/uerj). Por definição a empresa júnior tem como objetivo central o incentivo à inserção dos estudantes em práticas empresariais e de gerenciamento de projetos  através da prestação de serviços de consultoria alinhados às competências técnicas dos cursos aos quais está vinculada. Devido à sua natureza  é uma organização que se vincula e interage continuamente com a incubadora de empresas de base tecnológica (iebtec). Na vigência de 2024  foco será dado à continuidade da execução da verba contemplada pelos editais interno inovuerj para estruturação de um laboratório de treinamento e desenvolvimento de projetos na área de automação industrial  o serralab. A oportunidade da implantação do serralab fornecerá aos membros o contato com diversas áreas de conhecimento e capacitação nas áreas de automação industrial  indústria 4.0 e fablab. Fica clara a demanda pela consolidação da infraestrutura física para o cumprimento dos objetivos e metas de execução técnicas e empresariais. Para a efetivação do serralab  a equipe do projeto integra  coordenado pela professora marinilza bruno de carvalho  dentro da célula de educação  proveu recursos definitivos para o laboratório: equipamentos de médio porte e infraestrutura do laboratório tem sido adquiridos  com previsão de inauguração para novembro de 2023  uma vez que  junto com a direção do campus  foi definido o espaço definitivo para alocação do serralab.","Letícia Dos Santos Aguilera"
"INCUBADORA E EMPRESAS SUL FLUMINENSE-DISSEMINAÇÃO DE CULTURA EMPREENDEDORA","As relações de trabalho  assim como o mercado global estão sofrendo mudanças em ritmo exponencial  impulsionadas não somente pelo uso de novas tecnologias disruptivas  mas também pela necessidade de geração de soluções inovadoras com foco na sustentabilidade  na segurança  na inclusão  geração de renda e na responsabilidade com o nosso planeta. Nesse mundo fani (frágil  ansioso  não-linear e incompreensível)  hiper conectado e cada vez mais acelerado  torna-se urgente trabalharmos não somente com o letramento digital e tecnológico  mas também com o desenvolvimento de habilidades que gerem soluções inovadoras (no sentido de geração de valor e impacto social) com foco na sustentabilidade  na segurança  na inclusão e na responsabilidade com o nosso planeta. Recentemente  as principais universidades brasileiras sentiram a necessidade de desenvolver junto a sua comunidade acadêmica o espírito empreendedor  como meio de transferir ao mercado  sob forma de negócios bem-sucedidos  resultados obtidos nas pesquisas tecnológicas e no conhecimento gerado em seus centros. A formatação de um programa de empreendedorismo e inovação  concebido como um projeto de extensão universitária  oportuniza a formação e a implementação de novos negócios  capazes de impulsionar a criação e fortalecimento de pequenas e médias empresas inovadoras de base tecnológica  contribuindo para o desenvolvimento socioeconômico. Regional. De acordo com a missão do programa de incentivo ao empreendedorismo e inovação (piei) da incubadora sul-fluminense do campus regional resende  o presente projeto propõe desenvolver através de ações da incubadora sul fluminense  um programa de empreendedorismo e inovação  oportunizando formação e inserção na cultura empreendedora tanto aos alunos quanto à sociedade em geral  contribuindo assim para o desenvolvimento econômico e social da região em que o nosso campus se encontra inserido.","Patricia Helena Araujo Da Silva Nogueira"
"CENTRO DE  MEMÓRIA E  FORMAÇÃO SINDICAL","A construção do centro de memória e formação para trabalhadores sindicalizados na uerj objetiva desenvolver ações que identifiquem  mantenham e preservem a história de uma categoria profissional que contribui para o desenvolvimento do brasil desde o período monárquico brasileiro: portuários e marítimos. Posteriormente outras categorias sindicais poderão ser agregadas ao centro de memória. Para isso  nos concentraremos no levantamento e organização do seu acervo institucional com vistas a consolidação de seu centro de memória. Enquanto um lugar da memória  o centro de memória e formação pode se constituir como um espaço de contribuição para a preservação do patrimônio material e imaterial destas instituições que representam categorias profissionais diferenciadas dentre os trabalhadores portuários  compreendendo os estivadores  arrumadores  portuários  conferentes  consertadores  trabalhadores de bloco e vigias; e os marítimos. As múltiplas dimensões e implicações deste projeto revelam a preocupação em não permitir que a experiência dos sujeitos que constroem cotidianamente o trabalho portuário se apague na falta de registro e preservação da história. Além disso  também alimenta este trabalho de ação e pesquisa  o compromisso ético e epistemológico com a construção de um centro de memória que se perceba como lócus de história e de memória.","Mauricio Jorge Pereira Da Mota"
"LIPE - LABORATÓRIO DE INOVAÇÃO  PESQUISA E ENSINO EM ADMINISTRAÇÃO  CONTABILIDADE E EMPREENDEDORISMO","Embora o desemprego no brasil tenha sido reduzido no segundo semestre de 2023 a 7 8% da população  ainda há 8 6 milhões de desempregados (ibge  29023). De acordo o ipea (2023)  a demanda por trabalho qualificado não acompanha o crescimento da oferta  o que gera uma massa de trabalhadores sobre-educados para a ocupação. Embora o mercado de trabalho venha se recuperando  ainda existem desafios no emprego  e também sociais  de saúde  econômicos  educacionais  políticos e ambientais  urgentes em todo o planeta. Nesse contexto  é possível fomentar iniciativas inclusivas que gerem emprego  renda e atendam às necessidades e problemas socioambientais  com duplo propósito:  sustentabilidade financeira e impacto social. Trata-se de uma visão em que empreendedorismo é parte da solução inovadora dos problemas sociais a partir da orientação empreendedora social (garcia e andrade  2022). Mudam-se a atitude  a decisão e o comportamento em um pensamento ganha-ganha-ganha  em que todos são beneficiados. Quando se trata de redução das desigualdades e inovação social  a jornada dos empreendedores parece ser mais desafiadora do que iniciativas tradicionais (lehmen  petrini  souza  2023). Portanto   este projeto pretende realizar cursos e eventos para desenvolver competências intrapessoais (como autoconhecimento e autoconsciência  autogestão)  interpessoais (como consciência social e habilidades de relacionamento como comunicação  empatia e negociação) necessárias à orientação empreendedora social  tomada de decisão responsável no ambiente social/sistêmico de que fizer parte  considerando suas necessidades e desafios  bem como as necessidades de seu entorno  e contribuir para a sua formação e multiplicação em seus ambientes  impactando positivamente a sociedade. As abordagens de trabalho serão participativas  interativas  aplicadas em ambientes complexos e inovadores  como teoria u  mindfulness  comunicação não-violenta e metodologia lego® serious play®.","Renata Georgia Motta Kurtz"
